# File: A221.bio_tech_prod.csv
# Title: Biomass Agricultural Production by Tech
# Units: EJ
# Description: Agricultural production by technology for biomass crops globally as a model output from V5.3 reference case
# Source: GCAM output
# Column types: ccccccnc
# ----------
scenario,region,sector,subsector,output,technology,2020,Units
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_AfrCstE,biomass,biomassGrass_AfrCstE_IRR_hi,3.22E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_AfrCstE,biomass,biomassGrass_AfrCstE_IRR_lo,2.19E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_AfrCstE,biomass,biomassGrass_AfrCstE_RFD_hi,0.00212217,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_AfrCstE,biomass,biomassGrass_AfrCstE_RFD_lo,0.00145605,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_AfrCstNE,biomass,biomassGrass_AfrCstNE_IRR_hi,2.56E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_AfrCstNE,biomass,biomassGrass_AfrCstNE_IRR_lo,1.75E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_AfrCstNE,biomass,biomassGrass_AfrCstNE_RFD_hi,6.31E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_AfrCstNE,biomass,biomassGrass_AfrCstNE_RFD_lo,4.12E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_AfrIntN,biomass,biomassGrass_AfrIntN_RFD_hi,2.95E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_AfrIntN,biomass,biomassGrass_AfrIntN_RFD_lo,2.01E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_CongoR,biomass,biomassGrass_CongoR_IRR_hi,1.87E-06,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_CongoR,biomass,biomassGrass_CongoR_IRR_lo,1.29E-06,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_CongoR,biomass,biomassGrass_CongoR_RFD_hi,3.04E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_CongoR,biomass,biomassGrass_CongoR_RFD_lo,2.03E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_LChad,biomass,biomassGrass_LChad_IRR_hi,7.45E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_LChad,biomass,biomassGrass_LChad_IRR_lo,5.19E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_LChad,biomass,biomassGrass_LChad_RFD_hi,0.00438071,EJ
