# File: A23.subsector_shrwt_renew_R_cwf_adj.csv
# Title: Region-specific renewable electric subsector shareweights by region to adjust for CWF case. The years in this file need to match with years in the shareweight interpolation files (e.g. A23.subsector_interp_cwf_adj.csv)
# Units: Unitless share-weights
# Source: None (assumptions)
# Column types: cccnnn
# ----------
region,supplysector,subsector,2020,2025
Africa_Eastern,electricity,geothermal,0.02,1
Africa_Northern,electricity,geothermal,0.02,1
Africa_Southern,electricity,geothermal,0.02,1
Africa_Western,electricity,geothermal,0.02,1
Argentina,electricity,geothermal,0.15,1
Australia_NZ,electricity,geothermal,0.15,1
Brazil,electricity,geothermal,0.15,1
Canada,electricity,geothermal,0.15,1
Central America and Caribbean,electricity,geothermal,0.15,1
Central Asia,electricity,geothermal,0.01,1
China,electricity,geothermal,0.15,1
Colombia,electricity,geothermal,0.15,1
EU-12,electricity,geothermal,0.15,1
EU-15,electricity,geothermal,0.15,1
Europe_Eastern,electricity,geothermal,0.15,1
Europe_Non_EU,electricity,geothermal,0.15,1
European Free Trade Association,electricity,geothermal,0.15,1
India,electricity,geothermal,0.15,1
Indonesia,electricity,geothermal,0.03,1
Japan,electricity,geothermal,0.15,1
Mexico,electricity,geothermal,0.15,1
Middle East,electricity,geothermal,0.03,1
Pakistan,electricity,geothermal,0.03,1
Russia,electricity,geothermal,0.01,1
South Africa,electricity,geothermal,0.02,1
South America_Northern,electricity,geothermal,0.15,1
South America_Southern,electricity,geothermal,0.15,1
South Asia,electricity,geothermal,0.03,1
South Korea,electricity,geothermal,0,0
Southeast Asia,electricity,geothermal,0.03,1
Taiwan,electricity,geothermal,0.03,1
USA,electricity,geothermal,0.15,1
Africa_Eastern,electricity,solar,0.1,1
Africa_Northern,electricity,solar,0.1,1
Africa_Southern,electricity,solar,0.1,1
Africa_Western,electricity,solar,0.1,1
Argentina,electricity,solar,0.1,1
Australia_NZ,electricity,solar,0.1,1
Brazil,electricity,solar,0.1,1
Canada,electricity,solar,0.1,1
Central America and Caribbean,electricity,solar,0.1,1
Central Asia,electricity,solar,0.1,1
China,electricity,solar,0.1,1
Colombia,electricity,solar,0.1,1
EU-12,electricity,solar,0.1,1
EU-15,electricity,solar,0.1,1
Europe_Eastern,electricity,solar,0.1,1
Europe_Non_EU,electricity,solar,0.1,1
European Free Trade Association,electricity,solar,0.1,1
India,electricity,solar,0.1,1
Indonesia,electricity,solar,0.1,1
Japan,electricity,solar,0.1,1
Mexico,electricity,solar,0.1,1
Middle East,electricity,solar,0.1,1
Pakistan,electricity,solar,0.1,1
Russia,electricity,solar,0.1,1
South Africa,electricity,solar,0.1,1
South America_Northern,electricity,solar,0.1,1
South America_Southern,electricity,solar,0.1,1
South Asia,electricity,solar,0.1,1
South Korea,electricity,solar,0.1,1
Southeast Asia,electricity,solar,0.1,1
Taiwan,electricity,solar,0.1,1
USA,electricity,solar,0.1,1
Africa_Eastern,electricity,wind,0.06,1
Africa_Northern,electricity,wind,0.06,1
Africa_Southern,electricity,wind,0.06,1
Africa_Western,electricity,wind,0.06,1
Argentina,electricity,wind,0.06,1
Australia_NZ,electricity,wind,0.26,1
Brazil,electricity,wind,0.06,1
Canada,electricity,wind,0.26,1
Central America and Caribbean,electricity,wind,0.06,1
Central Asia,electricity,wind,0.01,1
China,electricity,wind,0.06,1
Colombia,electricity,wind,0.06,1
EU-12,electricity,wind,0.12,1
EU-15,electricity,wind,1.9,1
Europe_Eastern,electricity,wind,0.12,1
Europe_Non_EU,electricity,wind,1.9,1
European Free Trade Association,electricity,wind,1.9,1
India,electricity,wind,0.15,1
Indonesia,electricity,wind,0.06,1
Japan,electricity,wind,0.25,1
Mexico,electricity,wind,0.06,1
Middle East,electricity,wind,0.02,1
Pakistan,electricity,wind,0.06,1
Russia,electricity,wind,0.01,1
South Africa,electricity,wind,0.06,1
South America_Northern,electricity,wind,0.06,1
South America_Southern,electricity,wind,0.06,1
South Asia,electricity,wind,0.06,1
South Korea,electricity,wind,0.06,1
Southeast Asia,electricity,wind,0.06,1
Taiwan,electricity,wind,0.06,1
USA,electricity,wind,1.9,1
