# File: A32.incelas_cwf.csv
# Title: CWF industry income elasticities
# Units: Unitless
# Column types: ccnnnnnnnnnnnnnnnnn
# ----------
region,energy-final-demand,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa_Eastern,other industry,1.315,1.251,1.127,0.972,0.803,0.684,0.556,0.428,0.305,0.198,0.135,0.093,0.053,0.015,-0.02,-0.044,-0.067
Africa_Northern,other industry,1.083,0.995,0.86,0.773,0.686,0.601,0.522,0.447,0.375,0.308,0.247,0.192,0.141,0.094,0.062,0.034,0.006
Africa_Southern,other industry,1.334,1.286,1.203,1.095,0.967,0.817,0.709,0.601,0.491,0.384,0.283,0.193,0.114,0.074,0.037,0.003,-0.031
Africa_Western,other industry,1.296,1.244,1.117,0.968,0.808,0.698,0.582,0.467,0.353,0.25,0.16,0.113,0.074,0.038,0.003,-0.031,-0.061
Argentina,other industry,0.831,0.763,0.686,0.609,0.537,0.471,0.41,0.354,0.302,0.253,0.208,0.167,0.127,0.089,0.062,0.036,0.009
Australia_NZ,other industry,0.362,0.327,0.298,0.268,0.24,0.211,0.184,0.158,0.131,0.104,0.077,0.051,0.025,0,-0.022,-0.043,-0.065
Brazil,other industry,0.825,0.773,0.698,0.618,0.54,0.464,0.394,0.328,0.268,0.213,0.162,0.124,0.095,0.066,0.037,0.009,-0.02
Canada,other industry,0.179,0.157,0.135,0.112,0.089,0.066,0.043,0.021,-0.002,-0.025,-0.048,-0.071,-0.094,-0.1,-0.1,-0.1,-0.1
Central America and Caribbean,other industry,0.906,0.845,0.764,0.675,0.583,0.492,0.404,0.322,0.248,0.181,0.14,0.107,0.074,0.043,0.012,-0.019,-0.049
Central Asia,other industry,0.718,0.624,0.511,0.409,0.323,0.254,0.218,0.187,0.157,0.126,0.097,0.069,0.041,0.014,-0.013,-0.04,-0.061
China,other industry,0.772,0.65,0.515,0.402,0.314,0.248,0.215,0.186,0.158,0.131,0.105,0.08,0.055,0.031,0.007,-0.018,-0.042
Colombia,other industry,1.242,1.173,1.084,0.988,0.885,0.79,0.725,0.661,0.598,0.537,0.479,0.423,0.37,0.318,0.266,0.216,0.168
EU-12,other industry,0.852,0.788,0.717,0.646,0.583,0.527,0.476,0.428,0.38,0.332,0.285,0.24,0.198,0.156,0.115,0.075,0.035
EU-15,other industry,0.811,0.773,0.729,0.682,0.634,0.588,0.544,0.5,0.456,0.411,0.367,0.323,0.28,0.237,0.195,0.152,0.111
Europe_Eastern,other industry,0.785,0.702,0.591,0.479,0.382,0.303,0.237,0.199,0.166,0.134,0.103,0.074,0.046,0.018,-0.009,-0.036,-0.061
Europe_Non_EU,other industry,1.053,0.971,0.872,0.803,0.739,0.679,0.621,0.566,0.513,0.462,0.414,0.368,0.322,0.277,0.233,0.189,0.146
European Free Trade Association,other industry,0.43,0.395,0.354,0.312,0.273,0.245,0.219,0.193,0.167,0.14,0.114,0.088,0.061,0.035,0.009,-0.017,-0.044
India,other industry,1.185,1.031,0.868,0.758,0.65,0.545,0.449,0.36,0.281,0.21,0.149,0.117,0.085,0.054,0.024,-0.005,-0.034
Indonesia,other industry,1.068,0.936,0.798,0.677,0.558,0.449,0.353,0.269,0.197,0.157,0.123,0.091,0.061,0.031,0.002,-0.027,-0.054
Japan,other industry,0.856,0.823,0.774,0.725,0.678,0.631,0.585,0.54,0.494,0.448,0.403,0.358,0.314,0.27,0.227,0.184,0.142
Mexico,other industry,0.887,0.837,0.77,0.697,0.623,0.551,0.48,0.41,0.345,0.284,0.228,0.177,0.128,0.087,0.058,0.029,0.001
Middle East,other industry,0.549,0.508,0.433,0.363,0.301,0.248,0.218,0.188,0.157,0.127,0.098,0.069,0.041,0.012,-0.016,-0.041,-0.063
Pakistan,other industry,1.303,1.258,1.159,1.032,0.892,0.767,0.672,0.577,0.484,0.394,0.309,0.232,0.163,0.1,0.06,0.028,-0.004
Russia,other industry,0.243,0.22,0.195,0.17,0.146,0.123,0.101,0.079,0.055,0.032,0.008,-0.014,-0.036,-0.059,-0.081,-0.1,-0.1
South Africa,other industry,0.701,0.654,0.567,0.48,0.4,0.329,0.268,0.213,0.18,0.15,0.121,0.093,0.066,0.039,0.013,-0.013,-0.039
South America_Northern,other industry,1.207,1.207,1.138,1.066,0.997,0.924,0.849,0.772,0.715,0.663,0.611,0.561,0.512,0.462,0.414,0.365,0.318
South America_Southern,other industry,0.972,0.882,0.803,0.72,0.638,0.558,0.484,0.412,0.346,0.285,0.228,0.177,0.128,0.087,0.058,0.029,0.001
South Asia,other industry,1.33,1.244,1.121,0.978,0.823,0.725,0.626,0.528,0.434,0.343,0.262,0.188,0.121,0.079,0.046,0.013,-0.018
South Korea,other industry,0.287,0.252,0.219,0.196,0.174,0.152,0.13,0.108,0.087,0.065,0.044,0.022,0.001,-0.021,-0.042,-0.063,-0.085
Southeast Asia,other industry,0.926,0.835,0.743,0.647,0.552,0.461,0.376,0.3,0.231,0.169,0.136,0.105,0.074,0.043,0.014,-0.016,-0.045
Taiwan,other industry,0.34,0.307,0.277,0.248,0.222,0.198,0.176,0.157,0.137,0.115,0.093,0.073,0.053,0.035,0.017,0,-0.016
USA,other industry,0.553,0.514,0.463,0.417,0.375,0.337,0.303,0.27,0.238,0.206,0.174,0.144,0.112,0.087,0.062,0.038,0.013
