# File: A321.incelas_cwf.csv
# Title: CWF cement income elasticities
# Units: Unitless
# Column types: ccnnnnnnnnnnnnnnnnn
# ----------
region,energy-final-demand,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa_Eastern,cement,1.203,1.17,1.119,1.053,1.023,1.008,0.708,0.406,0.259,0.146,0.081,0.023,-0.028,-0.074,-0.1,-0.1,-0.1
Africa_Northern,cement,0.068,0.035,0,-0.03,-0.057,-0.082,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Africa_Southern,cement,1.198,1.168,1.125,1.074,1.021,1.004,0.988,0.697,0.413,0.281,0.169,0.092,0.037,-0.013,-0.059,-0.1,-0.1
Africa_Western,cement,1.203,1.174,1.124,1.062,1.022,1.006,0.88,0.538,0.351,0.229,0.131,0.073,0.02,-0.028,-0.071,-0.1,-0.1
Argentina,cement,0.902,0.706,0.535,0.438,0.353,0.282,0.22,0.178,0.14,0.104,0.07,0.038,0.007,-0.024,-0.054,-0.084,-0.1
Australia_NZ,cement,0.279,0.246,0.211,0.176,0.143,0.11,0.08,0.051,0.022,-0.009,-0.04,-0.07,-0.1,-0.1,-0.1,-0.1,-0.1
Brazil,cement,0.509,0.443,0.351,0.269,0.216,0.167,0.122,0.081,0.043,0.007,-0.028,-0.064,-0.098,-0.1,-0.1,-0.1,-0.1
Canada,cement,0.466,0.432,0.394,0.352,0.309,0.267,0.228,0.193,0.162,0.13,0.098,0.066,0.034,0.003,-0.028,-0.059,-0.09
Central America and Caribbean,cement,0.919,0.742,0.532,0.412,0.303,0.22,0.163,0.112,0.065,0.022,-0.017,-0.059,-0.097,-0.1,-0.1,-0.1,-0.1
Central Asia,cement,0.801,0.566,0.427,0.313,0.236,0.186,0.144,0.106,0.069,0.033,-0.001,-0.032,-0.062,-0.095,-0.1,-0.1,-0.1
China,cement,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252
Colombia,cement,0.693,0.552,0.448,0.343,0.252,0.196,0.146,0.1,0.057,0.018,-0.018,-0.056,-0.091,-0.1,-0.1,-0.1,-0.1
EU-12,cement,0.209,0.166,0.119,0.075,0.037,0.005,-0.025,-0.053,-0.08,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
EU-15,cement,0.052,0.029,0.004,-0.02,-0.044,-0.067,-0.089,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Europe_Eastern,cement,0.508,0.404,0.286,0.217,0.159,0.11,0.069,0.028,-0.012,-0.05,-0.083,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Europe_Non_EU,cement,-0.04,-0.06,-0.079,-0.098,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
European Free Trade Association,cement,0.17,0.142,0.111,0.081,0.052,0.024,-0.004,-0.031,-0.057,-0.084,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
India,cement,0.855,0.507,0.343,0.236,0.164,0.103,0.05,-0.002,-0.046,-0.083,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Indonesia,cement,1.109,0.799,0.478,0.314,0.216,0.151,0.095,0.047,0,-0.044,-0.081,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Japan,cement,0.08,0.056,0.028,0.001,-0.024,-0.05,-0.074,-0.098,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Mexico,cement,0.504,0.437,0.351,0.271,0.218,0.17,0.124,0.081,0.042,0.005,-0.033,-0.069,-0.1,-0.1,-0.1,-0.1,-0.1
Middle East,cement,-0.079,-0.092,-0.096,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Pakistan,cement,1.061,0.933,0.613,0.424,0.28,0.192,0.125,0.067,0.014,-0.039,-0.085,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Russia,cement,0.33,0.287,0.225,0.171,0.128,0.092,0.061,0.03,-0.002,-0.033,-0.061,-0.088,-0.1,-0.1,-0.1,-0.1,-0.1
South Africa,cement,0.944,0.838,0.609,0.475,0.381,0.3,0.232,0.182,0.141,0.104,0.069,0.036,0.004,-0.027,-0.057,-0.086,-0.1
South America_Northern,cement,1.109,1.088,0.995,0.822,0.657,0.505,0.424,0.349,0.278,0.212,0.152,0.105,0.067,0.03,-0.006,-0.041,-0.075
South America_Southern,cement,0.704,0.557,0.439,0.331,0.246,0.191,0.142,0.098,0.057,0.019,-0.017,-0.053,-0.088,-0.1,-0.1,-0.1,-0.1
South Asia,cement,1.188,1.143,1.082,1.042,1.026,0.939,0.623,0.411,0.296,0.197,0.123,0.071,0.024,-0.019,-0.06,-0.099,-0.1
South Korea,cement,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.252,-0.245,-0.224,-0.205,-0.188
Southeast Asia,cement,0.429,0.322,0.251,0.187,0.131,0.082,0.031,-0.014,-0.053,-0.088,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Taiwan,cement,-0.04,-0.059,-0.079,-0.099,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
USA,cement,0.932,0.855,0.742,0.645,0.563,0.497,0.457,0.42,0.383,0.345,0.309,0.274,0.238,0.202,0.165,0.127,0.089
