# File: A323.incelas_cwf.csv
# Title: CWF iron and steel income elasticities
# Units: Unitless
# Column types: ccnnnnnnnnnnnnnnnnn
# ----------
region,energy-final-demand,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa_Eastern,iron and steel,6.097358423,6.534594773,4.673872856,3.782563991,3.026333736,2.384662221,1.850776782,1.412930846,1.055287263,0.763425925,0.524072826,0.325064272,0.155139295,0.008771112,-0.11999944,-0.233479438,-0.337820973
Africa_Northern,iron and steel,0.620658622,0.877815532,0.488648584,0.332020487,0.201873367,0.081533547,-0.039468621,-0.148159597,-0.248980127,-0.34404259,-0.44693956,-0.548910093,-0.641612067,-0.726166455,-0.802797462,-0.87966393,-0.960729105
Africa_Southern,iron and steel,-6.150514587,21.21698905,6.469554912,5.591206357,4.774996497,3.982014651,3.257518504,2.615388529,2.069870405,1.617407875,1.242178067,0.928195402,0.668964421,0.450483231,0.259585254,0.093478843,-0.053520998
Africa_Western,iron and steel,5.138026458,5.451654831,3.978835385,3.22935341,2.607322697,2.08540725,1.651016569,1.272788975,0.960837661,0.708998852,0.497905072,0.317844197,0.16261681,0.025038328,-0.09715893,-0.206775006,-0.307673424
Argentina,iron and steel,2.071078217,1.417176278,1.147633568,0.919025756,0.709701299,0.506145425,0.338308515,0.183559915,0.033991932,-0.103087839,-0.244442493,-0.388398102,-0.511887036,-0.617246659,-0.712406198,-0.809682034,-0.911597982
Australia_NZ,iron and steel,0.537541403,0.400907363,0.297322598,0.1691971,0.07012319,-0.014127736,-0.118453302,-0.227400668,-0.305515793,-0.413413193,-0.519043633,-0.643538488,-0.764047488,-0.892496259,-1.004457886,-1.095296542,-1.17858482
Brazil,iron and steel,0.959584405,1.011089264,0.756851495,0.536575794,0.361048055,0.18908498,0.014659483,-0.127943807,-0.257167992,-0.400754224,-0.521792827,-0.609435206,-0.719451929,-0.820351795,-0.904475787,-0.97304096,-1.038526839
Canada,iron and steel,0.477829998,-0.003302316,0.044621782,-0.056776417,-0.134271852,-0.219635763,-0.324082934,-0.427075736,-0.468407622,-0.516190168,-0.579406429,-0.67092187,-0.765641902,-0.876463262,-0.974547219,-1.056878668,-1.130165781
Central America and Caribbean,iron and steel,2.479344001,3.623800321,2.470890502,2.062400496,1.71455459,1.402446989,1.118529355,0.866361819,0.640452101,0.450357615,0.2807259,0.125500294,-0.014000721,-0.144054028,-0.262907778,-0.372419595,-0.473361364
Central Asia,iron and steel,1.912421302,1.780106006,1.219120363,0.906659653,0.656239741,0.419183871,0.164662598,-0.036580439,-0.143169885,-0.212807254,-0.329646775,-0.484216086,-0.603874541,-0.695649399,-0.762155363,-0.827458004,-0.91662948
China,iron and steel,0.267614271,-0.023488991,-0.107366448,-0.292527321,-0.46512443,-0.635238288,-0.858838378,-1.116717167,-1.267680644,-1.417588999,-1.560774874,-1.742729969,-1.83803321,-1.988907491,-2.095184237,-2.19014919,-2.270096055
Colombia,iron and steel,2.753103501,3.041988541,2.32556486,1.972786655,1.663479556,1.379666122,1.118454352,0.882982481,0.67316348,0.480134048,0.303394584,0.135559732,-0.018734566,-0.167056299,-0.304193879,-0.432269119,-0.555396748
EU-12,iron and steel,0.46463818,0.321981836,0.122058847,-0.039940389,-0.197229879,-0.369275039,-0.511435224,-0.629619841,-0.678434014,-0.730062422,-0.823004528,-0.953387553,-1.063043911,-1.152627966,-1.218951024,-1.257631755,-1.291190615
EU-15,iron and steel,-0.120189916,-0.33225664,-0.36036888,-0.395370494,-0.412095641,-0.469465877,-0.551210192,-0.614021553,-0.641667231,-0.693855814,-0.764095072,-0.846355592,-0.916285779,-0.986250316,-1.052407171,-1.114550491,-1.183961359
Europe_Eastern,iron and steel,-0.266485478,-0.157726555,-0.257810778,-0.336173678,-0.415158349,-0.509358867,-0.603579768,-0.647833733,-0.657914535,-0.704983981,-0.786426819,-0.899697434,-0.998046443,-1.076335836,-1.140239074,-1.205688258,-1.294987084
Europe_Non_EU,iron and steel,0.588219496,0.228199082,0.204449156,0.076105509,-0.036403521,-0.155084448,-0.27223859500000003,-0.376214209,-0.476024694,-0.573350654,-0.671383815,-0.776098889,-0.876226747,-0.965495271,-1.04319146,-1.120273306,-1.2039937
European Free Trade Association,iron and steel,0.902846835,1.128631949,0.831564922,0.691516775,0.599438333,0.515145495,0.443581468,0.357400923,0.2546705,0.139302379,0.023861485,-0.102024593,-0.218846013,-0.34485374,-0.477815555,-0.603361555,-0.713756748
India,iron and steel,1.756888745,1.593626696,1.063859581,0.803021903,0.592862131,0.413589905,0.248442804,0.098192392,-0.045039839,-0.178418548,-0.303879649,-0.427066103,-0.54700153,-0.662753677,-0.767887153,-0.869574474,-0.972983652
Indonesia,iron and steel,2.739652875,2.547905999,1.715045452,1.286602011,0.956876525,0.674700404,0.428101468,0.222256366,0.036597138,-0.134742705,-0.297884555,-0.438570958,-0.562875396,-0.676772563,-0.783746883,-0.884072233,-0.980238857
Japan,iron and steel,-0.876056959,-0.806659264,-0.859631658,-1.137408089,-1.353852612,-1.325082849,-1.387132409,-1.35282039,-1.333726516,-1.379268764,-1.428669071,-1.502553354,-1.564219283,-1.578356508,-1.593411655,-1.618940993,-1.659013893
Mexico,iron and steel,1.252595636,1.151040218,0.890038693,0.693641353,0.513113388,0.353649383,0.21178781,0.074675461,-0.063403172,-0.166405222,-0.265598203,-0.356157225,-0.446585614,-0.536334578,-0.61737706,-0.688834042,-0.759803503
Middle East,iron and steel,1.972412446,1.651405301,1.386315717,1.195227669,1.015233809,0.826916475,0.631781782,0.451428262,0.293534908,0.152256218,0.010967048,-0.12663589,-0.246482958,-0.357152489,-0.453088806,-0.544931099,-0.641565123
Pakistan,iron and steel,3.638814916,3.100659527,2.542832109,2.070203563,1.665528933,1.318488876,1.019920968,0.755598477,0.529077802,0.339214803,0.17626248,0.033833905,-0.097639258,-0.21451554,-0.325839888,-0.423730731,-0.517787619
Russia,iron and steel,-0.698921072,-0.23666474,-0.281080166,-0.385258288,-0.50290176,-0.697952243,-0.928734896,-0.972708996,-0.838684607,-0.87906624,-0.969757625,-1.129806331,-1.28444574,-1.373680861,-1.414904007,-1.461662809,-1.574043345
South Africa,iron and steel,1.214545638,1.366976995,1.006513384,0.774675973,0.583178643,0.404335897,0.241382867,0.100953759,-0.017637329,-0.153031676,-0.292846898,-0.423403725,-0.555115884,-0.679360137,-0.796731183,-0.916202038,-1.039883694
South America_Northern,iron and steel,3.190577366,3.652843128,2.768705876,2.384200763,2.04011599,1.734210545,1.451899858,1.194238782,0.956057251,0.72373372,0.505447823,0.309453119,0.142224694,-0.014402441,-0.166006542,-0.312964301,-0.447201908
South America_Southern,iron and steel,2.287358536,2.451204853,1.820035639,1.477275978,1.195939328,0.943400966,0.713073622,0.504789543,0.317142276,0.159008025,0.013435384,-0.125044225,-0.253195363,-0.373660667,-0.485629895,-0.587112374,-0.682661592
South Asia,iron and steel,5.867744358,5.471461442,3.97263726,3.217122382,2.619670722,2.11799798,1.69521978,1.33581666,1.025941329,0.760794996,0.532602773,0.337066389,0.163543007,0.010742202,-0.124200056,-0.242797332,-0.349903987
South Korea,iron and steel,-0.37421414,-0.620796272,-0.610627598,-0.743338833,-0.902234419,-1.052740587,-1.215206924,-1.320054156,-1.536336989,-1.676624086,-1.687150115,-1.811385356,-1.848307174,-1.923679554,-2.026517186,-2.138911973,-2.204245358
Southeast Asia,iron and steel,2.397181157,2.090619741,1.598134667,1.264401376,0.989779298,0.747304363,0.529785448,0.343965436,0.177708648,0.026279621,-0.115379964,-0.248375827,-0.372193305,-0.489228334,-0.594967183,-0.692673778,-0.786001781
Taiwan,iron and steel,-0.582914392,-0.991939711,-0.943071303,-1.020073285,-1.138363758,-1.435362152,-2.130134325,-3.734743075,-3.991200411,-1.497216766,-1.565037878,-1.754361633,-2.045933357,-2.701383123,-3.73194343,-5.899199028,-11.93476067
USA,iron and steel,0.251182626,-0.120320715,-0.102384122,-0.264057408,-0.430041008,-0.612728728,-0.839292733,-0.94326265,-0.971198965,-1.00735009,-1.183170394,-1.36631688,-1.423502622,-1.570069118,-1.693722293,-1.796536898,-1.893124075
