# File: A326.incelas_cwf.csv
# Title: CWF aluminum income elasticities
# Units: Unitless
# Column types: ccnnnnnnnnnnnnnnnnn
# ----------
region,energy-final-demand,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa_Eastern,aluminum,0.129,0.116,0.104,0.1,0.117,0.146,0.19,0.296,0.382,0.324,0.259,0.186,0.103,0.012,-0.086,-0.1,-0.1
Africa_Northern,aluminum,0.485,0.513,0.46,0.405,0.346,0.285,0.219,0.149,0.073,0.003,-0.057,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Africa_Southern,aluminum,0.17,0.177,0.185,0.197,0.219,0.292,0.395,0.386,0.328,0.262,0.186,0.102,0.006,-0.084,-0.1,-0.1,-0.1
Africa_Western,aluminum,0.179,0.201,0.232,0.294,0.399,0.433,0.376,0.309,0.231,0.143,0.043,-0.05,-0.1,-0.1,-0.1,-0.1,-0.1
Argentina,aluminum,0.302,0.222,0.148,0.09,0.033,-0.025,-0.08,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Australia_NZ,aluminum,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Brazil,aluminum,0.315,0.241,0.171,0.118,0.067,0.015,-0.039,-0.094,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Canada,aluminum,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Central America and Caribbean,aluminum,0.532,0.486,0.438,0.386,0.33,0.268,0.2,0.125,0.044,-0.019,-0.085,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Central Asia,aluminum,0.512,0.443,0.374,0.305,0.238,0.173,0.112,0.055,0.007,-0.045,-0.099,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
China,aluminum,0.415,0.301,0.193,0.112,0.045,-0.021,-0.079,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Colombia,aluminum,0.432,0.382,0.325,0.263,0.195,0.122,0.057,-0.002,-0.065,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
EU-12,aluminum,0.187,0.12,0.052,-0.016,-0.07,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
EU-15,aluminum,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Europe_Eastern,aluminum,0.434,0.525,0.474,0.421,0.367,0.313,0.258,0.201,0.138,0.07,0,-0.05,-0.1,-0.1,-0.1,-0.1,-0.1
Europe_Non_EU,aluminum,0.318,0.241,0.164,0.107,0.05,-0.009,-0.07,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
European Free Trade Association,aluminum,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
India,aluminum,0.241,0.293,0.397,0.485,0.435,0.382,0.326,0.267,0.204,0.136,0.065,-0.009,-0.068,-0.1,-0.1,-0.1,-0.1
Indonesia,aluminum,0.546,0.479,0.408,0.332,0.251,0.164,0.076,0.01,-0.059,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Japan,aluminum,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Mexico,aluminum,0.332,0.268,0.2,0.133,0.08,0.022,-0.04,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Middle East,aluminum,0.351,0.289,0.224,0.159,0.105,0.058,0.012,-0.036,-0.088,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Pakistan,aluminum,0.143,0.132,0.14,0.156,0.181,0.225,0.311,0.409,0.359,0.304,0.243,0.177,0.106,0.031,-0.05,-0.1,-0.1
Russia,aluminum,0.307,0.214,0.134,0.069,0.008,-0.045,-0.085,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
South Africa,aluminum,0.428,0.361,0.292,0.222,0.15,0.085,0.032,-0.023,-0.08,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
South America_Northern,aluminum,0.385,0.328,0.269,0.205,0.138,0.078,0.023,-0.037,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
South America_Southern,aluminum,0.424,0.355,0.284,0.212,0.134,0.07,0.008,-0.057,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
South Asia,aluminum,0.142,0.14,0.156,0.175,0.2,0.254,0.335,0.405,0.357,0.305,0.248,0.186,0.118,0.045,-0.036,-0.1,-0.1
South Korea,aluminum,-0.051,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Southeast Asia,aluminum,0.544,0.492,0.438,0.382,0.322,0.258,0.189,0.115,0.038,-0.021,-0.083,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Taiwan,aluminum,0.032,-0.027,-0.079,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
USA,aluminum,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
