# File: A62.globaltech_coef_EMF_adv.csv
# Title: Coefficients for advanced technology trajectory for DAC
# Units: airCO2 input is unitless (MtC from the atmosphere per Mt dac demand); all others are GJ per kg C (EJ of energy per Mt C)
# Column types: ccccnnnnnn
# ----------
supplysector,subsector,technology,minicam.energy.input,1971,2020,2025,2030,2050,2100
CO2 removal,dac,hightemp DAC NG elec,process heat dac,0.028857767,0.028857767,0.028857767,0.033847917,0.021326359,0.021326359
CO2 removal,dac,hightemp DAC NG elec,elect_td_ind,0.0066,0.0066,0.0066,0.00594,0.0048312,0.0048312
CO2 removal,dac,hightemp DAC NG elec,airCO2,1,1,1,1,1,1
CO2 removal,dac,hightemp DAC NG elec,water_td_ind_C,0.017233333,0.017233333,0.017233333,0.017233333,0.017233333,0.017233333
CO2 removal,dac,hightemp DAC NG elec,water_td_ind_W,0.017233333,0.017233333,0.017233333,0.017233333,0.017233333,0.017233333
CO2 removal,dac,hightemp DAC NG,process heat dac,0.03585945,0.03585945,0.03585945,0.03585945,0.03079366,0.03079366
CO2 removal,dac,hightemp DAC NG,airCO2,1,1,1,1,1,1
CO2 removal,dac,hightemp DAC NG,water_td_ind_C,0.017233333,0.017233333,0.017233333,0.017233333,0.017233333,0.017233333
CO2 removal,dac,hightemp DAC NG,water_td_ind_W,0.017233333,0.017233333,0.017233333,0.017233333,0.017233333,0.017233333
process heat dac,gas CCS,gas CCS,wholesale gas,1,1,1,1,1,1
